[2026-04-19 03:57:05] [INFO    ] discord.client: logging in using static token
[2026-04-19 03:57:05] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-04-19 03:57:05] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-04-19 03:57:05] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1495250646280966338', 'username': 'KrakenCrack', 'avatar': '0d7df4e5f832c078316035ef358136df', 'discriminator': '2484', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-04-19 03:57:05] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-04-19 03:57:05] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-04-19 03:57:05] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1495250646280966338', 'name': 'KrakenCrack', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1495250646280966338', 'username': 'KrakenCrack', 'avatar': '0d7df4e5f832c078316035ef358136df', 'discriminator': '2484', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '14af4abd0fb4952eb58fe3a8b77c25ea6e83aaf02aa3126d199a152bb1400efe', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '419551459517005835', 'username': 'mmb04official', 'avatar': 'f9b8b201019bc381fe71e0d65165b677', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'MMB04', 'avatar_decoration_data': {'asset': 'a_8552f9857793aed0cf816f370e2df3be', 'sku_id': '1232071712695386162', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1349849614198505602', 'asset': 'nameplates/nameplates/twilight/', 'label': 'COLLECTIBLES_NAMEPLATES_TWILIGHT_A11Y', 'palette': 'cobalt'}}, 'display_name_styles': None, 'banner_color': None, 'clan': {'identity_guild_id': '620723483965653003', 'identity_enabled': True, 'tag': 'ZEDD', 'badge': '6082c2553b03b47ccaea5203567df3cf'}, 'primary_guild': {'identity_guild_id': '620723483965653003', 'identity_enabled': True, 'tag': 'ZEDD', 'badge': '6082c2553b03b47ccaea5203567df3cf'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-04-19 03:57:05] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-04-19 03:57:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-gczw",{"micros":0.0}]']}}
[2026-04-19 03:57:05] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-04-19 03:57:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
